name,research_field,topic
Dakota Clark,"IGZ - Leibniz-Institut für Gemüse- und Zierpflanzenbau, Großbeeren und Erfurt","The Poetics of Cultivation: Language, Labor, and the Vegetable in German Agricultural Discourse, 1945-Present"
Alex Singh,"IAP - Leibniz-Institut für Atmosphärenphysik an der Universität Rostock, Kühlungsborn",Aerosol-Cloud Interactions and Linguistic Representation in Climate Change Discourse.
Casey Thomas,LIAG - Institut für Angewandte Geophysik,Seismic Narratives: Mapping Geological Time and Human Perception in Literary and Geophysical Data.
Reese Liu,"MBI - Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie, Berlin",Spectral Dynamics and Information Transfer in Molecular Aggregates: A Femtosecond Spectroscopy and Computational Chemistry Approach
Charlie Brooks,"MfN - Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Berlin",Speculative Naturalism: Literary Ecology and the Anthropocene in German Scientific Narratives
Kris Flores,"IZW - Leibniz-Institut für Zoo- und Wildtierforschung, Berlin","Narrative Ecology: Animal Representation and Conservation Communication in German Zoos, 1900-Present"
Morgan Singh,"TIB - Leibniz-Informationszentrum Technik und Naturwissenschaften Universitätsbibliothek, Hannover",Algorithmic Bias in Scholarly Data: A Critical Examination of Discovery Systems and Digital Humanities Practices.
Reese Liu,"IÖR - Leibniz-Institut für ökologische Raumentwicklung, Dresden",Spatial Narratives of Ecological Transition: Environmental Communication and the Construction of Futures in Post-Socialist Landscapes
Riley Singh,"SGN - Senckenberg Gesellschaft für Naturforschung, Frankfurt am Main",The Poetics of Extinction: Speculative Realism and the Fossil Record at Senckenberg
Casey Patel,"IDS - Institut für Deutsche Sprache, Mannheim",The Negotiation of Authority in Contemporary German Digital Storytelling.
Jordan Jain,MFO - Mathematisches Forschungsinstitut Oberwolfach,The Algorithmic Uncanny: Sentiment Analysis and the Limits of Computational Empathy.
Reese Lee,"MBI - Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie, Berlin",Spectroscopic Narratives: Temporally Resolved Language and Affect in Experimental Literature.
Robin Gonzalez,"LIR - Leibniz-Institut für Resilienzforschung, Mainz",Resilience and Narrative: Exploring Collective Memory and Future Projections in Post-Industrial Landscapes.
Sydney Flores,"IPHT - Leibniz-Institut für Photonische Technologien, Jena",Algorithmic Aesthetics: Computational Creativity and the Materiality of Light in Contemporary Poetry
Riley Patel,"DIPF - Deutsches Institut für internationale pädagogische Forschung, Frankfurt am Main und Berlin","Negotiating Authority: Children’s Literature, Multimodal Meaning-Making, and the Development of Critical Literacy in German Classrooms."
Taylor Thomas,"SGN - Senckenberg Gesellschaft für Naturforschung, Frankfurt am Main",The Poetics of Extinction: Speculative Realism and the Fossil Record
Sam Rivera,"MBI - Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie, Berlin",Spectrally Resolved Ultrafast Dynamics of Molecular Chromophores in Complex Environments.
Jordan Adams,"AIP - Leibniz Institut für Astrophysik, Potsdam","Cosmic Narratives: Poetic and Scientific Representations of the Universe, 1900-Present"
Taylor Brooks,"HKI - Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie - Hans-Knöll-Institut, Jena",The Chemical Ecology of Secondary Metabolites in *Penicillium* Species: A Comparative Study Across Diverse Environments.
Charlie Rivera,"IGZ - Leibniz-Institut für Gemüse- und Zierpflanzenbau, Großbeeren und Erfurt",The Poetics of Cultivation: Plant Narratives and Ecological Subjectivity in Contemporary Literature and Horticultural Praxis
Reese Liu,"IWT - Leibniz-Institut für Werkstofforientierte Technologien, Bremen","Materiality, Agency, and the Digital Archive: Tracing the Literary Life of Industrial Alloys."
Reese Rivera,"IVW - Leibniz-Institut für Verbundwerkstoffe, Kaiserslautern","Materiality, Labor, and Language: Technical Documentation in the Age of Composite Materials."
Skyler Brooks,"IZW - Leibniz-Institut für Zoo- und Wildtierforschung, Berlin",Narrative Zoology: Human-Animal Relations and Scientific Discourse in the Leibniz-IZW's Research Archives.
Dana Brooks,"FBH - Ferdinand-Braun-Institut, Leibniz-Institut für Höchstfrequenztechnik, Berlin","Spectrographic Poetics: Materiality, Signal, and Representation in Early Radio Broadcasting."
Riley Kumar,"WIAS - Weierstraß-Institut für Angewandte Analysis und Stochastik, Berlin",Computational Stylometry and the Digital Humanities: A Bayesian Approach to Authorship Attribution in Early Modern Scientific Correspondence.
Dana Jain,"FIZ-KA - Leibniz-Institut für Informationsinfrastruktur, Karlsruhe",Data Infrastructures and the Digital Humanities: A Genealogical Study of Scholarly Practices
Charlie Lee,"IAP - Leibniz-Institut für Atmosphärenphysik an der Universität Rostock, Kühlungsborn",The Atmospheric Archive: Literary Representations of Climate Change and Scientific Data at IAP.
Riley Kumar,"IKZ - Leibniz Institute für Kristallzüchtung, Berlin","Crystalline Narratives: Materiality, Perception, and Scientific Discourse in Early Semiconductor Culture."
Bailey Adams,"IÖR - Leibniz-Institut für ökologische Raumentwicklung, Dresden",Spatial Narratives of Ecological Transition: Environmental Imaginaries in Post-Industrial Saxony
Avery Patel,"SGN - Senckenberg Gesellschaft für Naturforschung, Frankfurt am Main",The Poetics of Extinction: Environmental Narratives in Early Modern Natural History.
Sydney Patel,"MfN - Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Berlin","Narratives of Extinction: Science, Specimen, and Sentiment in the Age of Anthropocene."
Morgan Thomas,"ISAS - Leibniz-Institut für Analytische Wissenschaften, Dortmund/Berlin","Algorithmic Poetics: Data, Sentiment, and the Computational Turn in Early Modern English Literature."
Bailey Adams,"MBI - Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie, Berlin",Spectral Signatures of Ultrafast Molecular Dynamics in Complex Chiral Environments
Robin Smith,"MfN - Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Berlin",The Literary Ecology of Specimenhood: Narratives of Biodiversity Research at the Museum für Naturkunde.
Robin Clark,LIAG - Institut für Angewandte Geophysik,Seismic Narratives: Exploring Geological Time and Human Understanding in Literature and Geophysical Data.
Alex Gonzalez,"IPF - Leibniz Institut für Polymerforschung, Dresden","Polymer Morphology and Narrative: Materiality, Representation, and the Shaping of Scientific Discourse."
Dana Reed,INP - Leibniz-Institut für Plasmaforschung und Technologie e.V. Greifswald,Spectral Signatures of Linguistic Drift: A Diachronic Corpus Analysis Informed by Plasma Physics Modeling.
Dakota Clark,"ISAS - Leibniz-Institut für Analytische Wissenschaften, Dortmund/Berlin",Quantitative Analysis of Affective Language in Early Modern English Medical Texts
Skyler Adams,PIK - Potsdam-Institut für Klimafolgenforschung,The Rhetoric of Climate Risk Communication: Modeling Uncertainty and Shaping Public Response
Riley Flores,"SGN - Senckenberg Gesellschaft für Naturforschung, Frankfurt am Main","The Rhetoric of Extinction: Scientific Discourse, Public Engagement, and the Anthropocene at Senckenberg"
Jamie Thomas,"PDI - Paul-Drude-Institut für Festkörperelektronik, Berlin",Materiality and Narrative in Semiconductor Literature: From Moore's Law to Speculative Fiction.
Alex Clark,"IKZ - Leibniz Institute für Kristallzüchtung, Berlin","Crystalline Narratives: Materiality, Memory, and the Archive in Contemporary Literature and Scientific Visualization."
Sydney Chen,"MBI - Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie, Berlin","Spectroscopic Narratives: Entanglement, Measurement, and the Quantum Poetics of Early Science Fiction."
Avery Campbell,"ATB - Leibniz-Institut für Agrartechnik und Bioökonomie e.V., Potsdam",Agrobiodiversity Narratives: Constructing Value and Resilience in Agricultural Innovation.
Alex Clark,LIAG - Institut für Angewandte Geophysik,Seismic Narratives: Mapping Geological Time and Human Perception in Victorian Literature and Geophysics.
Devon Reed,"IÖR - Leibniz-Institut für ökologische Raumentwicklung, Dresden",Spatial Narratives of Ecological Transition: Environmental Communication and Urban Imaginaries in Post-East German Landscapes
Robin Patel,"MBI - Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie, Berlin",Narrative Structures of Entanglement: Quantum Metaphor and Literary Modernism
Sam Smith,"FBH - Ferdinand-Braun-Institut, Leibniz-Institut für Höchstfrequenztechnik, Berlin",The Rhetoric of Technological Explanation: Terahertz Imaging and the Construction of Scientific Authority.
Sydney Liu,"MfN - Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Berlin","Narratives of Extinction: Scientific Discourse, Public Perception, and the Anthropocene in German Natural History Museums."
Charlie Liu,"IKZ - Leibniz Institute für Kristallzüchtung, Berlin",Materiality and Narrative: Tracing the Poetics of Crystal Growth in Scientific Literature and Artistic Representation.
Sydney Kumar,"ISAS - Leibniz-Institut für Analytische Wissenschaften, Dortmund/Berlin",Computational Stylistics and the Material History of Early Scientific Correspondence.
Jamie Lee,MFO - Mathematisches Forschungsinstitut Oberwolfach,The Algorithmic Uncanny: Generative Language Models and the Aesthetics of Approximation.
Alex Adams,"ZAS - Leibniz-Zentrum Allgemeine Sprachwissenschaft, Berlin",The Pragmatics of Repair in Multimodal Interaction: A Corpus Study of German Sign Language
Cameron Jain,"GESIS - Leibniz-Institut für Sozialwissenschaften, Köln, Mannheim, Berlin",Sentiment Analysis and the Evolution of Public Discourse on Climate Change: A Computational Literary Approach
Jordan Reed,"AIP - Leibniz Institut für Astrophysik, Potsdam","Cosmic Narratives: Literature, Science, and the Shaping of Astronomical Perception."
Casey Reed,"TROPOS - Leibniz-Institut für Troposphärenforschung, Leipzig",Atmospheric Narratives: Climate Change Communication and Literary Representation in the Anthropocene
Avery Jain,"HKI - Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie - Hans-Knöll-Institut, Jena",The Linguistic Ecology of Microbial Communication: A Corpus-Based Analysis of Secondary Metabolite Biosynthesis Narratives
Dana Garcia,IOW - Leibniz-Institut für Ostseeforschung Warnemünde an der Universität Rostock,"Narratives of Environmental Change: Baltic Sea Fisheries, Scientific Discourse, and Literary Representation (1950-Present)"
Casey Brooks,"FBH - Ferdinand-Braun-Institut, Leibniz-Institut für Höchstfrequenztechnik, Berlin",Narrative Resonance and Technological Mediation: Exploring the Representation of Radar and Radio Frequency Technologies in 20th and 21st Century Literature and Film.
Cameron Chen,PIK - Potsdam-Institut für Klimafolgenforschung,Narratives of Climate Futures: Modeling Uncertainty and Responsibility in IPCC Reports.
Reese Garcia,"IZW - Leibniz-Institut für Zoo- und Wildtierforschung, Berlin",Narrative Ecology and Human-Animal Relations in Wildlife Rehabilitation: A Case Study of the IZW
Dakota Garcia,LIAG - Institut für Angewandte Geophysik,Seismic Narratives: Mapping Geological Time and Human Perception in Literature and Geophysical Data.
Alex Singh,IOW - Leibniz-Institut für Ostseeforschung Warnemünde an der Universität Rostock,Maritime Ecologies of Memory: Narratives of Environmental Change in the Baltic Sea
Sydney Clark,"LIR - Leibniz-Institut für Resilienzforschung, Mainz",Resilience and Narrative: Counter-Stories of Displacement in Post-Unification Germany
Morgan Gonzalez,"ZALF - Leibniz-Zentrum für Agrarlandschaftsforschung, Müncheberg",Agricultural Narratives: Shaping Perceptions of Landscape and Labor in Post-Unification Germany
Riley Garcia,IFW - Leibniz-Institut für Festkörper- und Werkstoffforschung Dresden,"Materiality, Agency, and Algorithmic Labor in Post-Industrial Fabrication."
Reese Garcia,IOW - Leibniz-Institut für Ostseeforschung Warnemünde an der Universität Rostock,"Narratives of Marine Change: Environmental Communication, Scientific Authority, and the Baltic Sea."
Jordan Davis,"ATB - Leibniz-Institut für Agrartechnik und Bioökonomie e.V., Potsdam",Agricultural Narratives: Environmental Rhetoric and the Construction of Sustainable Food Systems in Post-Unification Germany.
Robin Davis,"GESIS - Leibniz-Institut für Sozialwissenschaften, Köln, Mannheim, Berlin",Algorithmic Bias and the Construction of Literary Canons: A Computational Analysis of JSTOR and Early Digital Humanities.
Kris Liu,"DIPF - Deutsches Institut für internationale pädagogische Forschung, Frankfurt am Main und Berlin",Negotiating Authority: Multimodal Literacies and Critical Agency in German Secondary School English Classrooms
Robin Flores,DRFZ - Deutsches Rheuma-Forschungszentrum Berlin,Narrative Resilience and Chronic Pain: Autoethnography and the Lived Experience of Rheumatoid Arthritis
Robin Davis,"ZALF - Leibniz-Zentrum für Agrarlandschaftsforschung, Müncheberg","Agricultural Narratives: Environmental Change, Rural Identity, and Literary Representation in Post-Reunification Germany"
Charlie Patel,"IVW - Leibniz-Institut für Verbundwerkstoffe, Kaiserslautern",Materiality and Narrative: Exploring Composite Structures in Contemporary Literature and Engineering.
Sam Rivera,"FIZ-KA - Leibniz-Institut für Informationsinfrastruktur, Karlsruhe","Data, Discourse, and the Digital Humanities: Shaping Scholarly Practice in the Age of Large Language Models"
Reese Adams,MFO - Mathematisches Forschungsinstitut Oberwolfach,The Algorithmic Uncanny: Computational Aesthetics and the Limits of Formalization in Early 20th-Century Modernism
Charlie Thomas,LIAG - Institut für Angewandte Geophysik,"Seismic Narratives: Ground Motion, Literary Representation, and the Anthropocene."
Jamie Liu,"AIP - Leibniz Institut für Astrophysik, Potsdam",Cosmic Narratives: Literature and the Scientific Imagination in the Age of Exoplanets
Morgan Kumar,"IWT - Leibniz-Institut für Werkstofforientierte Technologien, Bremen","Material Narratives: Fabrication, Form, and Feeling in Contemporary Literature and Industrial Process."
Riley Brooks,IOW - Leibniz-Institut für Ostseeforschung Warnemünde an der Universität Rostock,"Maritime Imaginaries and Environmental Crisis: Baltic Sea Narratives, 1900-Present"
Reese Clark,"IKZ - Leibniz Institute für Kristallzüchtung, Berlin","Crystalline Narratives: Materiality, Language, and the Poetics of Growth in Contemporary Literature and Scientific Discourse."
Alex Flores,"IHP - Leibniz-Institut für innovative Mikroelektronik, Frankfurt (Oder)","Narrative Computation and the Materiality of Microelectronics: Affect, Embodiment, and the Post-Humanist Novel"
Sam Flores,"MfN - Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Berlin","The Rhetoric of Extinction: Scientific Discourse, Public Perception, and the Museum as Memorial."
Cameron Kumar,"IKZ - Leibniz Institute für Kristallzüchtung, Berlin","Crystalline Narratives: Materiality, Memory, and the Archive in Contemporary Literature and Crystal Science."
Jamie Campbell,"FIZ-KA - Leibniz-Institut für Informationsinfrastruktur, Karlsruhe",Algorithmic Aesthetics and the Computational Humanities: A Critical History of Machine-Generated Poetry at FIZ-KA.
Skyler Reed,"WIAS - Weierstraß-Institut für Angewandte Analysis und Stochastik, Berlin",Algorithmic Poetics: Computational Modeling and the Future of Literary Form
Casey Lee,"AIP - Leibniz Institut für Astrophysik, Potsdam","Cosmic Narratives: Poetics and Reception of Astrophysical Imagery, 1900-Present"
Robin Flores,"IGZ - Leibniz-Institut für Gemüse- und Zierpflanzenbau, Großbeeren und Erfurt",The Rhetoric of Resilience: Horticultural Innovation and Ecological Discourse in the Leibniz-IGZ Archives
Riley Flores,"PDI - Paul-Drude-Institut für Festkörperelektronik, Berlin","Quantum Narratives: Materiality, Computation, and Speculative Fiction in the Age of Semiconductor Innovation"
